ResearchID,Title,Author,Department,PublishedIn,Year,CitationCount
45,Research Paper 45,Faculty 62,Mathematics,Nature,2016,44
46,Research Paper 46,Faculty 72,Arts,IEEE,2021,32
47,Research Paper 47,Faculty 18,Mathematics,IEEE,2016,62
48,Research Paper 48,Faculty 65,Science,Elsevier,2016,13
49,Research Paper 49,Faculty 94,Arts,Elsevier,2021,13
50,Research Paper 50,Faculty 8,Commerce,Nature,2018,97
51,Research Paper 51,Faculty 76,Science,Elsevier,2018,19
52,Research Paper 52,Faculty 84,Engineering,Elsevier,2018,100
53,Research Paper 53,Faculty 8,Commerce,Elsevier,2016,71
54,Research Paper 54,Faculty 13,Mathematics,Elsevier,2015,17
55,Research Paper 55,Faculty 76,Science,Elsevier,2016,45
56,Research Paper 56,Faculty 2,Science,Nature,2023,77
57,Research Paper 57,Faculty 99,Engineering,Nature,2019,71
58,Research Paper 58,Faculty 87,Science,Nature,2022,100
59,Research Paper 59,Faculty 73,Arts,Elsevier,2022,61
60,Research Paper 60,Faculty 67,Mathematics,Elsevier,2018,81
61,Research Paper 61,Faculty 17,Science,Nature,2016,93
62,Research Paper 62,Faculty 15,Commerce,Nature,2015,33
63,Research Paper 63,Faculty 61,Science,Elsevier,2020,47
64,Research Paper 64,Faculty 86,Commerce,Elsevier,2017,66
65,Research Paper 65,Faculty 21,Arts,IEEE,2021,85
66,Research Paper 66,Faculty 62,Engineering,IEEE,2018,90
67,Research Paper 67,Faculty 10,Arts,Elsevier,2018,16
68,Research Paper 68,Faculty 76,Science,Elsevier,2017,93
69,Research Paper 69,Faculty 10,Engineering,Elsevier,2019,14
70,Research Paper 70,Faculty 48,Science,IEEE,2018,53
71,Research Paper 71,Faculty 97,Commerce,Elsevier,2019,17
72,Research Paper 72,Faculty 16,Commerce,Nature,2022,6
73,Research Paper 73,Faculty 89,Commerce,Elsevier,2024,35
74,Research Paper 74,Faculty 41,Commerce,Elsevier,2016,69
75,Research Paper 75,Faculty 71,Mathematics,Nature,2017,90
76,Research Paper 76,Faculty 6,Science,Nature,2022,24
77,Research Paper 77,Faculty 10,Engineering,IEEE,2021,76
78,Research Paper 78,Faculty 30,Science,Elsevier,2021,66
79,Research Paper 79,Faculty 30,Arts,Nature,2021,10
80,Research Paper 80,Faculty 45,Engineering,Elsevier,2023,68
81,Research Paper 81,Faculty 3,Engineering,Elsevier,2021,25
82,Research Paper 82,Faculty 34,Commerce,Nature,2020,32
83,Research Paper 83,Faculty 51,Commerce,Elsevier,2018,69
84,Research Paper 84,Faculty 76,Science,Elsevier,2023,33
85,Research Paper 85,Faculty 12,Engineering,Nature,2018,36
86,Research Paper 86,Faculty 39,Arts,IEEE,2016,63
87,Research Paper 87,Faculty 87,Engineering,IEEE,2022,10
88,Research Paper 88,Faculty 34,Arts,Nature,2021,18
89,Research Paper 89,Faculty 12,Arts,Elsevier,2024,18
90,Research Paper 90,Faculty 31,Engineering,Nature,2022,59
91,Research Paper 91,Faculty 61,Mathematics,IEEE,2015,55
92,Research Paper 92,Faculty 35,Science,Elsevier,2021,97
93,Research Paper 93,Faculty 65,Engineering,IEEE,2019,31
94,Research Paper 94,Faculty 71,Science,Elsevier,2019,93
95,Research Paper 95,Faculty 31,Commerce,IEEE,2022,58
96,Research Paper 96,Faculty 34,Engineering,IEEE,2017,72
97,Research Paper 97,Faculty 40,Science,Nature,2024,81
98,Research Paper 98,Faculty 6,Commerce,Nature,2020,3
99,Research Paper 99,Faculty 67,Mathematics,Elsevier,2022,87
100,Research Paper 100,Faculty 34,Arts,IEEE,2024,43
101,Research Paper 101,Faculty 7,Science,Elsevier,2023,14
102,Research Paper 102,Faculty 36,Arts,Elsevier,2018,80
103,Research Paper 103,Faculty 43,Science,IEEE,2020,19
104,Research Paper 104,Faculty 12,Mathematics,Elsevier,2022,71
105,Research Paper 105,Faculty 92,Commerce,Elsevier,2017,87
106,Research Paper 106,Faculty 32,Arts,Elsevier,2019,93
107,Research Paper 107,Faculty 93,Arts,IEEE,2020,28
108,Research Paper 108,Faculty 72,Science,Nature,2020,35
109,Research Paper 109,Faculty 14,Engineering,Elsevier,2022,87
110,Research Paper 110,Faculty 93,Engineering,Nature,2020,63
111,Research Paper 111,Faculty 33,Commerce,Nature,2019,74
112,Research Paper 112,Faculty 87,Science,IEEE,2024,61
113,Research Paper 113,Faculty 2,Engineering,IEEE,2024,90
114,Research Paper 114,Faculty 76,Mathematics,Nature,2019,63
115,Research Paper 115,Faculty 82,Arts,IEEE,2020,10
116,Research Paper 116,Faculty 76,Mathematics,Nature,2024,48
117,Research Paper 117,Faculty 40,Arts,IEEE,2020,57
118,Research Paper 118,Faculty 62,Engineering,IEEE,2024,72
119,Research Paper 119,Faculty 21,Engineering,Nature,2023,1
120,Research Paper 120,Faculty 36,Commerce,Nature,2019,36
121,Research Paper 121,Faculty 57,Mathematics,Nature,2018,50
122,Research Paper 122,Faculty 82,Commerce,Nature,2016,70
123,Research Paper 123,Faculty 6,Mathematics,Elsevier,2020,75
124,Research Paper 124,Faculty 89,Science,Nature,2017,83
125,Research Paper 125,Faculty 100,Arts,Nature,2020,62
126,Research Paper 126,Faculty 88,Mathematics,Nature,2021,7
127,Research Paper 127,Faculty 69,Commerce,Elsevier,2020,69
128,Research Paper 128,Faculty 60,Mathematics,Elsevier,2018,63
129,Research Paper 129,Faculty 55,Science,Elsevier,2022,36
130,Research Paper 130,Faculty 79,Mathematics,IEEE,2018,14
131,Research Paper 131,Faculty 95,Science,Nature,2015,64
132,Research Paper 132,Faculty 22,Mathematics,IEEE,2021,13
133,Research Paper 133,Faculty 29,Engineering,Elsevier,2019,62
134,Research Paper 134,Faculty 86,Arts,IEEE,2015,92
135,Research Paper 135,Faculty 82,Commerce,Nature,2016,74
136,Research Paper 136,Faculty 73,Engineering,IEEE,2017,13
137,Research Paper 137,Faculty 77,Engineering,Elsevier,2022,97
138,Research Paper 138,Faculty 72,Science,Nature,2016,65
139,Research Paper 139,Faculty 26,Science,Elsevier,2018,70
140,Research Paper 140,Faculty 73,Commerce,Elsevier,2018,38
141,Research Paper 141,Faculty 72,Science,Elsevier,2016,89
142,Research Paper 142,Faculty 76,Engineering,Elsevier,2022,82
143,Research Paper 143,Faculty 96,Arts,Nature,2018,46
144,Research Paper 144,Faculty 1,Mathematics,Elsevier,2023,1
145,Research Paper 145,Faculty 50,Engineering,Elsevier,2022,87
146,Research Paper 146,Faculty 95,Science,Nature,2021,46
147,Research Paper 147,Faculty 53,Mathematics,Nature,2023,50
148,Research Paper 148,Faculty 70,Engineering,Nature,2018,12
149,Research Paper 149,Faculty 49,Commerce,Nature,2022,65
150,Research Paper 150,Faculty 14,Science,Nature,2017,22
151,Research Paper 151,Faculty 34,Arts,Elsevier,2023,86
152,Research Paper 152,Faculty 95,Engineering,Nature,2021,31
153,Research Paper 153,Faculty 44,Commerce,IEEE,2024,7
154,Research Paper 154,Faculty 10,Commerce,IEEE,2024,18
155,Research Paper 155,Faculty 27,Arts,Nature,2021,40
156,Research Paper 156,Faculty 26,Engineering,Nature,2015,99
157,Research Paper 157,Faculty 55,Mathematics,IEEE,2015,74
158,Research Paper 158,Faculty 17,Engineering,IEEE,2021,82
159,Research Paper 159,Faculty 100,Commerce,Elsevier,2021,58
160,Research Paper 160,Faculty 57,Science,IEEE,2016,29
161,Research Paper 161,Faculty 21,Engineering,Elsevier,2016,18
162,Research Paper 162,Faculty 64,Science,Nature,2024,83
163,Research Paper 163,Faculty 15,Engineering,IEEE,2018,33
164,Research Paper 164,Faculty 3,Commerce,Elsevier,2024,8
165,Research Paper 165,Faculty 3,Mathematics,Nature,2015,28
166,Research Paper 166,Faculty 56,Commerce,Nature,2018,45
167,Research Paper 167,Faculty 13,Commerce,IEEE,2018,44
168,Research Paper 168,Faculty 33,Arts,IEEE,2016,36
169,Research Paper 169,Faculty 32,Arts,Nature,2021,2
170,Research Paper 170,Faculty 91,Mathematics,Nature,2024,57
171,Research Paper 171,Faculty 86,Arts,Elsevier,2017,58
172,Research Paper 172,Faculty 10,Commerce,Elsevier,2023,29
173,Research Paper 173,Faculty 21,Mathematics,Elsevier,2015,93
174,Research Paper 174,Faculty 80,Science,Elsevier,2018,80
175,Research Paper 175,Faculty 63,Mathematics,Nature,2022,7
176,Research Paper 176,Faculty 16,Mathematics,IEEE,2024,76
177,Research Paper 177,Faculty 81,Commerce,Nature,2016,81
178,Research Paper 178,Faculty 57,Science,Elsevier,2019,2
179,Research Paper 179,Faculty 58,Science,IEEE,2015,90
180,Research Paper 180,Faculty 6,Mathematics,IEEE,2017,84
181,Research Paper 181,Faculty 2,Arts,Elsevier,2019,19
182,Research Paper 182,Faculty 100,Science,IEEE,2019,20
183,Research Paper 183,Faculty 22,Arts,IEEE,2024,46
184,Research Paper 184,Faculty 53,Mathematics,IEEE,2018,76
185,Research Paper 185,Faculty 19,Science,Elsevier,2018,1
186,Research Paper 186,Faculty 36,Science,Nature,2021,22
187,Research Paper 187,Faculty 40,Science,Elsevier,2018,89
188,Research Paper 188,Faculty 34,Science,Nature,2021,97
189,Research Paper 189,Faculty 32,Science,Elsevier,2022,48
190,Research Paper 190,Faculty 52,Science,IEEE,2018,84
191,Research Paper 191,Faculty 28,Commerce,IEEE,2019,59
192,Research Paper 192,Faculty 100,Science,IEEE,2018,21
193,Research Paper 193,Faculty 91,Science,Elsevier,2024,60
194,Research Paper 194,Faculty 61,Science,Elsevier,2021,90
195,Research Paper 195,Faculty 16,Commerce,IEEE,2021,3
196,Research Paper 196,Faculty 97,Commerce,Nature,2019,34
197,Research Paper 197,Faculty 73,Mathematics,IEEE,2019,97
198,Research Paper 198,Faculty 69,Arts,Elsevier,2016,23
199,Research Paper 199,Faculty 28,Science,Elsevier,2024,49
200,Research Paper 200,Faculty 71,Arts,Elsevier,2018,81
201,Research Paper 201,Faculty 48,Science,IEEE,2024,4
202,Research Paper 202,Faculty 39,Mathematics,Elsevier,2020,71
203,Research Paper 203,Faculty 78,Arts,Nature,2018,70
204,Research Paper 204,Faculty 18,Mathematics,Elsevier,2024,80
205,Research Paper 205,Faculty 2,Science,Nature,2024,38
206,Research Paper 206,Faculty 12,Commerce,IEEE,2021,60
207,Research Paper 207,Faculty 51,Commerce,Elsevier,2015,30
208,Research Paper 208,Faculty 58,Engineering,Elsevier,2023,54
209,Research Paper 209,Faculty 9,Mathematics,Elsevier,2015,99
210,Research Paper 210,Faculty 55,Commerce,Elsevier,2021,48
211,Research Paper 211,Faculty 36,Arts,Elsevier,2024,70
212,Research Paper 212,Faculty 91,Science,IEEE,2016,1
213,Research Paper 213,Faculty 64,Commerce,Nature,2022,73
214,Research Paper 214,Faculty 19,Commerce,IEEE,2024,83
215,Research Paper 215,Faculty 43,Science,Elsevier,2016,11
216,Research Paper 216,Faculty 23,Mathematics,IEEE,2024,37
217,Research Paper 217,Faculty 82,Arts,IEEE,2022,32
218,Research Paper 218,Faculty 73,Science,Elsevier,2015,66
219,Research Paper 219,Faculty 90,Science,Nature,2017,31
220,Research Paper 220,Faculty 80,Arts,Elsevier,2017,35
221,Research Paper 221,Faculty 24,Arts,Nature,2023,13
222,Research Paper 222,Faculty 64,Commerce,IEEE,2016,46
223,Research Paper 223,Faculty 14,Mathematics,Elsevier,2022,36
224,Research Paper 224,Faculty 55,Mathematics,Elsevier,2022,77
225,Research Paper 225,Faculty 73,Commerce,Elsevier,2017,29
226,Research Paper 226,Faculty 5,Engineering,Elsevier,2017,78
227,Research Paper 227,Faculty 98,Arts,Elsevier,2022,92
228,Research Paper 228,Faculty 82,Commerce,Elsevier,2015,76
229,Research Paper 229,Faculty 97,Mathematics,Elsevier,2019,30
230,Research Paper 230,Faculty 18,Mathematics,Nature,2019,78
231,Research Paper 231,Faculty 40,Engineering,Elsevier,2019,13
232,Research Paper 232,Faculty 24,Commerce,Nature,2022,30
233,Research Paper 233,Faculty 33,Engineering,Nature,2022,97
234,Research Paper 234,Faculty 26,Engineering,IEEE,2024,15
235,Research Paper 235,Faculty 70,Commerce,Nature,2015,92
236,Research Paper 236,Faculty 67,Science,Nature,2018,49
237,Research Paper 237,Faculty 75,Science,IEEE,2021,31
238,Research Paper 238,Faculty 29,Science,Nature,2018,69
239,Research Paper 239,Faculty 37,Commerce,Elsevier,2015,87
240,Research Paper 240,Faculty 62,Commerce,IEEE,2020,83
241,Research Paper 241,Faculty 45,Arts,IEEE,2017,6
242,Research Paper 242,Faculty 56,Science,Nature,2021,16
243,Research Paper 243,Faculty 33,Science,IEEE,2020,90
244,Research Paper 244,Faculty 38,Engineering,Elsevier,2022,5
245,Research Paper 245,Faculty 4,Engineering,Nature,2017,73
246,Research Paper 246,Faculty 49,Science,Nature,2020,87
247,Research Paper 247,Faculty 50,Mathematics,IEEE,2021,19
248,Research Paper 248,Faculty 83,Science,Nature,2015,14
249,Research Paper 249,Faculty 50,Arts,IEEE,2021,60
250,Research Paper 250,Faculty 6,Science,IEEE,2022,47
251,Research Paper 251,Faculty 92,Engineering,Nature,2018,18
252,Research Paper 252,Faculty 53,Arts,Elsevier,2016,11
253,Research Paper 253,Faculty 75,Engineering,IEEE,2020,54
254,Research Paper 254,Faculty 91,Engineering,IEEE,2018,70
255,Research Paper 255,Faculty 7,Mathematics,Nature,2021,65
256,Research Paper 256,Faculty 97,Science,Elsevier,2015,92
257,Research Paper 257,Faculty 64,Science,Elsevier,2019,54
258,Research Paper 258,Faculty 82,Commerce,Nature,2024,11
259,Research Paper 259,Faculty 75,Commerce,Nature,2021,93
260,Research Paper 260,Faculty 29,Arts,Nature,2024,98
261,Research Paper 261,Faculty 60,Engineering,Elsevier,2022,61
262,Research Paper 262,Faculty 1,Commerce,Nature,2019,28
263,Research Paper 263,Faculty 1,Mathematics,Nature,2022,53
264,Research Paper 264,Faculty 19,Science,Elsevier,2015,79
265,Research Paper 265,Faculty 13,Commerce,Nature,2015,34
266,Research Paper 266,Faculty 61,Mathematics,IEEE,2019,38
267,Research Paper 267,Faculty 81,Engineering,IEEE,2019,19
268,Research Paper 268,Faculty 98,Arts,IEEE,2017,47
269,Research Paper 269,Faculty 84,Arts,Nature,2017,53
270,Research Paper 270,Faculty 81,Engineering,Nature,2023,96
271,Research Paper 271,Faculty 33,Science,Nature,2016,27
272,Research Paper 272,Faculty 12,Arts,Elsevier,2020,12
273,Research Paper 273,Faculty 64,Science,Nature,2016,49
274,Research Paper 274,Faculty 91,Science,IEEE,2024,43
275,Research Paper 275,Faculty 52,Science,Nature,2019,68
276,Research Paper 276,Faculty 37,Mathematics,Nature,2015,42
277,Research Paper 277,Faculty 20,Commerce,Elsevier,2016,53
278,Research Paper 278,Faculty 16,Commerce,IEEE,2021,44
279,Research Paper 279,Faculty 50,Engineering,Elsevier,2016,12
280,Research Paper 280,Faculty 98,Engineering,Nature,2015,95
281,Research Paper 281,Faculty 39,Commerce,IEEE,2021,56
282,Research Paper 282,Faculty 89,Engineering,IEEE,2021,41
283,Research Paper 283,Faculty 77,Engineering,Elsevier,2022,86
284,Research Paper 284,Faculty 9,Engineering,IEEE,2023,44
285,Research Paper 285,Faculty 68,Arts,Elsevier,2017,79
286,Research Paper 286,Faculty 60,Mathematics,Nature,2020,65
287,Research Paper 287,Faculty 53,Engineering,IEEE,2022,64
288,Research Paper 288,Faculty 42,Engineering,IEEE,2023,79
289,Research Paper 289,Faculty 1,Commerce,Elsevier,2015,67
290,Research Paper 290,Faculty 17,Mathematics,IEEE,2018,3
291,Research Paper 291,Faculty 41,Arts,Nature,2022,56
292,Research Paper 292,Faculty 60,Arts,IEEE,2022,19
293,Research Paper 293,Faculty 77,Commerce,Nature,2022,78
294,Research Paper 294,Faculty 48,Mathematics,IEEE,2021,49
295,Research Paper 295,Faculty 67,Commerce,Elsevier,2023,36
296,Research Paper 296,Faculty 57,Engineering,Nature,2020,88
297,Research Paper 297,Faculty 46,Engineering,Elsevier,2021,57
298,Research Paper 298,Faculty 32,Mathematics,Nature,2017,65
299,Research Paper 299,Faculty 35,Engineering,IEEE,2020,94
300,Research Paper 300,Faculty 95,Commerce,Elsevier,2021,60
